"street","city","zip","state","beds","baths","sq__ft","type","sale_date","price","latitude","longitude"
"4660 CEDARWOOD WAY","SACRAMENTO","95823","CA","4","2","1310","Residential","Tue May 20 00:00:00 EDT 2008","150000","38.484834","-121.449316"
"9254 HARROGATE WAY","ELK GROVE","95758","CA","2","2","1006","Residential","Tue May 20 00:00:00 EDT 2008","152000","38.420138","-121.412179"
"6716 TAREYTON WAY","CITRUS HEIGHTS","95621","CA","3","2","1104","Residential","Tue May 20 00:00:00 EDT 2008","156000","38.693724","-121.307169"
"2028 ROBERT WAY","SACRAMENTO","95825","CA","2","1","810","Residential","Tue May 20 00:00:00 EDT 2008","156000","38.609982","-121.419263"
"9346 AIZENBERG CIR","ELK GROVE","95624","CA","2","2","1123","Residential","Tue May 20 00:00:00 EDT 2008","156000","38.41875","-121.370019"
"4524 LOCH HAVEN WAY","SACRAMENTO","95842","CA","2","1","904","Residential","Tue May 20 00:00:00 EDT 2008","157788","38.67273","-121.359645"
"7140 BLUE SPRINGS WAY","CITRUS HEIGHTS","95621","CA","3","2","1156","Residential","Tue May 20 00:00:00 EDT 2008","161653","38.720653","-121.302241"
"4631 11TH AVE","SACRAMENTO","95820","CA","2","1","1321","Residential","Tue May 20 00:00:00 EDT 2008","161829","38.541965","-121.452132"
"3228 BAGGAN CT","ANTELOPE","95843","CA","3","2","1392","Residential","Tue May 20 00:00:00 EDT 2008","165000","38.715346","-121.388163"
"8515 DARTFORD DR","SACRAMENTO","95823","CA","3","2","1439","Residential","Tue May 20 00:00:00 EDT 2008","168000","38.448288","-121.420719"
"4500 TIPPWOOD WAY","SACRAMENTO","95842","CA","3","2","1159","Residential","Tue May 20 00:00:00 EDT 2008","169000","38.69951","-121.359989"
"2460 EL ROCCO WAY","RANCHO CORDOVA","95670","CA","3","2","1671","Residential","Tue May 20 00:00:00 EDT 2008","175000","38.591477","-121.31534"
"8244 SUNBIRD WAY","SACRAMENTO","95823","CA","3","2","1740","Residential","Tue May 20 00:00:00 EDT 2008","176250","38.457654","-121.431381"
"5841 VALLEY VALE WAY","SACRAMENTO","95823","CA","3","2","1265","Residential","Tue May 20 00:00:00 EDT 2008","179000","38.461283","-121.434322"
"7863 CRESTLEIGH CT","ANTELOPE","95843","CA","2","2","1007","Residential","Tue May 20 00:00:00 EDT 2008","180000","38.710889","-121.358876"
"7129 SPRINGMONT DR","ELK GROVE","95758","CA","3","2","1716","Residential","Tue May 20 00:00:00 EDT 2008","180400","38.417649","-121.420294"
"8284 RED FOX WAY","ELK GROVE","95758","CA","4","2","1685","Residential","Tue May 20 00:00:00 EDT 2008","182000","38.417182","-121.397231"
"2219 EL CANTO CIR","RANCHO CORDOVA","95670","CA","4","2","1829","Residential","Tue May 20 00:00:00 EDT 2008","184500","38.592383","-121.318669"
"8907 GEMWOOD WAY","ELK GROVE","95758","CA","3","2","1555","Residential","Tue May 20 00:00:00 EDT 2008","185000","38.435471","-121.441173"
"5925 MALEVILLE AVE","CARMICHAEL","95608","CA","4","2","1120","Residential","Tue May 20 00:00:00 EDT 2008","189000","38.666564","-121.325717"
"7031 CANEVALLEY CIR","CITRUS HEIGHTS","95621","CA","3","2","1137","Residential","Tue May 20 00:00:00 EDT 2008","194000","38.718693","-121.303619"
"3949 WILDROSE WAY","SACRAMENTO","95826","CA","3","1","1174","Residential","Tue May 20 00:00:00 EDT 2008","195000","38.543697","-121.366683"
"4437 MITCHUM CT","ANTELOPE","95843","CA","3","2","1393","Residential","Tue May 20 00:00:00 EDT 2008","200000","38.704407","-121.36113"
"2778 KAWEAH CT","CAMERON PARK","95682","CA","3","1","0","Residential","Tue May 20 00:00:00 EDT 2008","201000","38.694052","-120.995589"
"1636 ALLENWOOD CIR","LINCOLN","95648","CA","4","2","0","Residential","Tue May 20 00:00:00 EDT 2008","202500","38.879192","-121.309477"
